Bidding Exercise,Announcement Date,Year,Category,Quota,Quota Premium,Total Bids Received,Number of Successful Bids,,,,,,,,,,,
September 2021 Second Open Bidding Exercise,22/09/2021,2021,Cat A (Cars up to 1600cc and 97kW),803,"$48,000","1,040",795,,,,,,,,,,,
September 2021 Second Open Bidding Exercise,22/09/2021,2021,Cat B (Cars above 1600cc or 97kW),772,"$68,310","1,189",768,,,,,,,,,,,
September 2021 Second Open Bidding Exercise,22/09/2021,2021,Cat C (Goods vehicles and buses),120,"$39,000",203,110,,,,,,,,,,,
September 2021 Second Open Bidding Exercise,22/09/2021,2021,Cat D (Motorcycles),449,"$9,089",658,443,,,,,,,,,,,
September 2021 Second Open Bidding Exercise,22/09/2021,2021,Cat E (Open),198,"$70,002",400,186,,,,,,,,,,,
September 2021 First Open Bidding Exercise,08/09/2021,2021,Cat A (Cars up to 1600cc and 97kW),804,"$47,000","1,124",790,,,,,,,,,,,
September 2021 First Open Bidding Exercise,08/09/2021,2021,Cat B (Cars above 1600cc or 97kW),791,"$62,600","1,080",788,,,,,,,,,,,
September 2021 First Open Bidding Exercise,08/09/2021,2021,Cat C (Goods vehicles and buses),122,"$40,001",211,113,,,,,,,,,,,
September 2021 First Open Bidding Exercise,08/09/2021,2021,Cat D (Motorcycles),445,"$9,689",562,445,,,,,,,,,,,
September 2021 First Open Bidding Exercise,08/09/2021,2021,Cat E (Open),206,"$64,700",319,190,,,,,,,,,,,
August 2021 Second Open Bidding Exercise,18/08/2021,2021,Cat A (Cars up to 1600cc and 97kW),806,"$46,689","1,127",806,,,,,,,,,,,
August 2021 Second Open Bidding Exercise,18/08/2021,2021,Cat B (Cars above 1600cc or 97kW),794,"$61,001","1,065",793,,,,,,,,,,,
August 2021 Second Open Bidding Exercise,18/08/2021,2021,Cat C (Goods vehicles and buses),118,"$40,010",220,113,,,,,,,,,,,
August 2021 Second Open Bidding Exercise,18/08/2021,2021,Cat D (Motorcycles),451,"$9,500",635,447,,,,,,,,,,,
August 2021 Second Open Bidding Exercise,18/08/2021,2021,Cat E (Open),198,"$64,901",408,197,,,,,,,,,,,
